baseline,baseline_penalization,alwayshint,alwayshint_penalization,ppo,ppo_penalization
-1.7994799999999997,-3.0994800000000002,-2.1076,-8.3076,1.1149600000000002,-2.7291
-1.59444,-2.86444,-2.1068000000000002,-8.296800000000001,1.04966,-2.76318
-1.64276,-2.93276,-2.1068000000000002,-8.3468,1.07542,-2.7699800000000003
-1.8635200000000003,-3.07352,-2.2672,-8.6872,1.1144600000000002,-2.7984999999999998
-1.8638599999999999,-3.0838599999999996,-2.2746,-8.694600000000001,1.0747,-2.7995000000000005
-2.0563200000000004,-3.28632,-2.0909999999999997,-8.561,1.1203400000000001,-2.7022199999999996
-2.0778,-3.2878000000000003,-1.8672000000000002,-8.3572,1.13746,-2.659420000000001
-2.2975,-3.4875,-1.6676000000000002,-7.997600000000001,1.1663400000000002,-2.52558
-2.2851999999999997,-3.4652,-1.8452000000000002,-8.465200000000001,1.1900600000000001,-2.47386
-2.30492,-3.45492,-1.6774,-8.3274,1.1842800000000002,-2.47302
-2.533,-3.713,-1.7074,-8.3574,1.18628,-2.6718599999999997
-2.51298,-3.7129799999999995,-1.9224,-8.5624,1.12922,-2.6232800000000003
-2.51298,-3.7129800000000004,-2.1066000000000003,-8.7866,1.08618,-2.6553999999999998
-2.4247400000000003,-3.61474,-2.1066,-8.8566,1.09444,-2.7256
-2.5969800000000003,-3.75698,-2.1068000000000002,-8.8968,1.05928,-2.90344
-2.39334,-3.60334,-1.9246000000000003,-8.784600000000001,1.0594,-2.88016
-2.47206,-3.65206,-1.9454000000000002,-8.7854,1.2467399999999997,-3.03336
-2.47246,-3.66246,-1.7450000000000006,-8.385000000000002,1.05922,-3.00238
-2.4709,-3.6809,-1.5392000000000001,-8.229200000000002,0.8588999999999999,-2.8255
-2.26694,-3.4969400000000004,-1.7418000000000005,-8.6818,0.81082,-2.89378
-2.42654,-3.60654,-1.7422000000000002,-8.792200000000001,0.8110200000000001,-2.86004
-2.42634,-3.6063400000000003,-1.7420000000000002,-8.982000000000001,0.8012600000000001,-2.99686
